lon,lat,fid,año,fallecidos,graves,menos_graves,leves
-70.7530956001818,-33.6954800002018,"1","2013","0","0","0","1"
-70.704797419765,-33.610151458423,"2","2013","0","0","0","1"
-70.6969246979164,-33.6113165346303,"3","2013","0","0","1","0"
-70.6952853507383,-33.6172823097307,"4","2013","0","1","0","0"
-70.6903548311105,-33.620016950222,"5","2013","0","0","0","1"
-70.6822118000345,-33.6169429001947,"6","2013","0","1","0","0"
-70.6659459285617,-33.6460303862933,"7","2013","0","1","0","0"
-70.7968354337083,-33.5163554911129,"8","2013","0","0","0","0"
-70.7929613971507,-33.5374813510834,"9","2013","0","0","0","1"
-70.789156000449,-33.5159034999465,"10","2013","0","0","0","1"
-70.7851335478749,-33.5182650917606,"11","2013","0","0","0","1"
-70.7791691109657,-33.5177302838255,"12","2013","0","0","0","2"
-70.7771955181586,-33.5313094153972,"13","2013","0","0","0","0"
-70.7753707082915,-33.5198049928061,"14","2013","0","0","0","1"
-70.7748287012835,-33.5315204835834,"15","2013","0","0","0","1"
-70.7738995999865,-33.5390576000282,"16","2013","0","0","1","0"
-70.7708958283798,-33.5179272092732,"17","2013","0","0","0","1"
-70.764999980065,-33.5281505359184,"18","2013","0","0","0","1"
-70.7639999609294,-33.5210450760694,"19","2013","0","0","0","0"
-70.7636619003763,-33.528920799855,"20","2013","0","0","0","1"
-70.7634470325545,-33.5160545410842,"21","2013","0","0","0","0"
-70.7633136999672,-33.5189848003083,"22","2013","0","0","0","1"
-70.7572591716734,-33.5220788350702,"23","2013","0","0","0","1"
-70.7120197833863,-33.5977963284378,"24","2013","0","0","0","0"
-70.70132794323,-33.5935881712571,"25","2013","0","0","0","0"
-70.701105164072,-33.5969910062299,"26","2013","0","0","0","1"
-70.700900396536,-33.6002312734545,"27","2013","0","0","0","1"
-70.6994852143711,-33.6032300915954,"28","2013","0","0","0","1"
-70.698631499644,-33.5908161000829,"29","2013","0","0","0","1"
-70.6983863030854,-33.5905715033721,"30","2013","0","1","0","0"
-70.6972988608537,-33.5985222396096,"31","2013","0","0","0","0"
-70.6951755462144,-33.5986235068693,"32","2013","0","1","0","0"
-70.6944403531397,-33.5951436197822,"33","2013","0","0","0","0"
-70.6888550758011,-33.5936418607832,"34","2013","0","1","0","0"
-70.7124608918566,-33.5706605771239,"35","2013","0","0","0","0"
-70.7119458833957,-33.5672143201847,"36","2013","1","0","0","2"
-70.7078518879542,-33.5758320907783,"37","2013","0","0","0","0"
-70.6999999998001,-33.5833332999918,"38","2013","0","0","1","0"
-70.6978253239795,-33.5841813229097,"39","2013","0","1","0","0"
-70.6945616060332,-33.583815377078,"40","2013","0","0","0","0"
-70.6941676598096,-33.5790953455737,"41","2013","0","0","0","1"
-70.6909486399677,-33.5804174676919,"42","2013","0","0","0","1"
-70.6870835354767,-33.5973453669951,"43","2013","0","0","1","0"
-70.6856697607508,-33.5940189681009,"44","2013","0","0","0","0"
-70.6851606626344,-33.6021145239661,"45","2013","0","0","0","0"
-70.6845041575408,-33.5829607432437,"46","2013","0","0","0","1"
-70.6843367820168,-33.5914128892934,"47","2013","0","0","0","0"
